TID;TEXT
auth_error_telegram_nonce_mismatch;Nonce в Telegram ID token не совпадает
auth_error_telegram_session_expired;Сессия Telegram Login истекла. Попробуйте ещё раз.
auth_error_telegram_token_exchange_failed;Обмен Telegram token не удался: %s
auth_error_verify_code_first;Сначала подтвердите код из Telegram
auth_full_name_placeholder;Полное имя
auth_info_login_canceled;Вход через Telegram отменён
auth_info_opening_telegram;Открываем Telegram...
auth_info_verifying_telegram_data;Проверяем данные Telegram...
auth_info_verifying_telegram_token;Проверяем Telegram ID token...
auth_open_telegram;Открыть Telegram
auth_opening_telegram;Открываем Telegram...
auth_or;или
auth_password_placeholder;Пароль
auth_password_subtitle;Telegram подтверждён. Теперь задайте пароль, чтобы завершить создание аккаунта.
auth_password_title;Создайте пароль
auth_privacy_policy;Политика конфиденциальности
auth_refresh_widget;Обновить виджет
auth_signed_in_desc;Теперь можно продолжить работу внутри приложения.
auth_signed_in_subtitle;Аккаунт подтверждён, авторизация завершена.
auth_signed_in_title;Вы вошли в FreeChat
auth_telegram_code_register_subtitle;Мы открыли Telegram-бота. Отправьте /start и введите код из чата, чтобы продолжить регистрацию.
auth_telegram_code_title;Подтвердите Telegram
auth_telegram_code_widget_subtitle;Подтвердите вход в Telegram Login Widget.
auth_telegram_confirmed_desc;Вы продолжаете вход в подтверждённый аккаунт FreeChat.
auth_telegram_confirmed_title;Telegram подтверждён
auth_telegram_login_not_completed;Telegram Login не завершён
auth_telegram_login_open_error;Не удалось открыть Telegram Login
auth_telegram_open_error;Не удалось открыть Telegram. Проверьте, установлен ли он.
auth_telegram_read_response_error;Не удалось прочитать ответ Telegram
auth_telegram_widget_backend_not_configured;Telegram Login Widget не настроен на backend. Проверьте TELEGRAM_BOT_TOKEN и TELEGRAM_BOT_USERNAME.
auth_telegram_widget_load_error;Не удалось загрузить Telegram Login Widget
auth_telegram_widget_server_open_error;Сервер не смог открыть Telegram Login Widget
auth_telegram_widget_subtitle;Подтвердите вход в официальном Telegram Login Widget.
auth_telegram_widget_title;Вход через Telegram
auth_telegram_widget_unavailable;Нет подключения или Telegram Login Widget недоступен
auth_terms;Условия пользования
auth_welcome_subtitle;Подтвердите Telegram, чтобы создать новый аккаунт или безопасно войти в FreeChat.
auth_welcome_title;Войти или зарегистрироваться
billing_auto_renew_disabled;Автопродление отключено.
billing_cancel_auto_renew;Отменить автопродление
billing_checkout_url_missing;Ссылка на оплату отсутствует.
billing_current_period_end;Конец текущего периода
billing_hint_active_pro;Ваш аккаунт может использовать серверные Pro-модели. Продления обрабатывает YooKassa.
billing_hint_cancel_at_period_end;Доступ Pro действует до конца оплаченного периода. Автопродление отключено.
billing_hint_pending;Завершите оплату в браузере. Доступ включится после webhook YooKassa на сервере.
billing_hint_server_controlled;Доступ контролируется на сервере.
billing_hint_upgrade;Это открывает модели более высокого уровня на сервере. Клиент больше не выбирает модель сам.
billing_payment_page_opened;Страница оплаты открыта.
billing_plan;План
billing_plan_free;Free
billing_plan_pro;Pro
billing_price;Цена
billing_price_rub_30_days;%s RUB / 30 дней
billing_refresh_status;Обновить статус
billing_status;Статус
billing_status_active;Активна
billing_status_active_until_period_end;Активна до конца периода
billing_status_auto_renew_disabled;Автопродление отключено
billing_status_expired;Истекла
billing_status_inactive;Неактивна
billing_status_payment_issue;Проблема с оплатой
billing_status_pending_payment;Ожидает оплаты
billing_status_unknown;Неизвестный статус: %s
billing_upgrade_for_rub;Перейти на Pro за %s RUB
button_about;Сведения о
button_camera;Камера
button_cancel;Отмена
button_change_password;Сменить пароль
button_confirm;Подтвердить
button_continue;Продолжить
button_create_idea;Придумать идею
button_create_image;Создать изображение
button_create_image_description;Создать любое изображение
button_delete;Удалить
button_edit_profile;Редактировать профиль
button_files;Файлы
button_hide_password;Скрыть пароль
button_language;Язык
button_more;Больше
button_new_chat;Новый чат
button_ok;ОК
button_personalization;Персонализация
button_photo;Фото
button_purchase_research;Исследование покупок
button_purchase_research_description;Получить подробный гид по покупкам
button_report_problem;Сообщить о проблеме
button_save;Сохранить
button_search_web;Поиск в сети
button_search_web_description;Искать новую информацию в режиме п…
button_security;Безопасность
button_show_password;Показать пароль
button_study_training;Учеба и обучение
button_study_training_description;Изучите новую концепцию
chat_error_empty;Чат пуст
chat_error_not_found;Чат не найден
code_copied;Скопировано!
code_copy;Скопировать
code_default_language;Код
content_desc_add_attachment;Добавить вложение
content_desc_anonymous_chat;Чат инкогнито
content_desc_back;Назад
content_desc_clear_mode;Сбросить режим
content_desc_menu;Меню
content_desc_microphone;Микрофон
content_desc_more_options;Больше действий
content_desc_new_chat;Новый чат
content_desc_remove_attachment;Удалить вложение
content_desc_send;Отправить
dialog_change_password;Смена пароля
dialog_rename_hint;Новое название
export_sender_bot;Бот
export_sender_you;Вы
external_link_unavailable;Ссылка недоступна
hint_create_image;Опишите изображение, которое хотите создать
history_label_last_7_days;За последние 7 дней
history_label_previously;Ранее
history_label_today;Сегодня
image_creating;Создание изображений...
image_ready;Изображение готово
label_email;Почта
label_file_analysis;Анализ файла/фото
label_limits_requests;Запросы
label_name;Имя
label_new_chat;Новый чат
label_personalization;Персонализация
label_personalization_instructions;Пользовательские инструкции
label_select_language;Выбрать язык
label_user;Пользователь
label_your_password;Ваш пароль
language_name_br;Белорусский
language_name_en;Английский
language_name_fr;Французский
language_name_go;Грузинский
language_name_it;Итальянский
language_name_ru;Русский
language_name_uk;Украинский
main_panel_input;Задайте вопрос
main_panel_input_create_image;Создать изображение
main_panel_input_panel_search;Поиск в сети
main_panel_input_purchase_research;Поиск покупок
main_panel_study_training;Обучение и учеба
menu_copy_text;Скопировать текст
menu_edit_message;Редактировать сообщение
menu_pin_chat;Закрепить чат
menu_regenerate;Перегенерировать
menu_rename;Переименовать
menu_revoke_share_links;Отключить ссылки
menu_unpin_chat;Открепить чат
network_connect_error;Не удалось подключиться к серверу
network_empty_response;Пустой ответ сервера
network_error_with_message;Сетевая ошибка: %s
network_http_error;Ошибка %s
network_unknown_error;Неизвестная ошибка
no_chat_history;Нет истории чатов
no_search_results;Ничего не найдено
not_available;-
panel_create_image;Изображение
panel_purchase_research;Исследование покупок
panel_search;Поиск
panel_study_training;Учеба
password_confirm_new_hint;Подтвердите новый пароль
password_current_hint;Текущий пароль
password_error_current_required;Введите текущий пароль
password_error_mismatch;Пароли не совпадают
password_error_new_too_short;Новый пароль должен быть не короче 6 символов
password_new_hint;Новый пароль
password_securely_stored;Пароль хранится безопасно
password_sign_in_again;Войдите снова
profile_and_settings;Профиль и настройки
prompt_idea_prefix;Придумай несколько идей
quick_suggestion_idea_1;Придумай несколько идей для моего следующего отпуска
quick_suggestion_idea_2;Придумай несколько идей для рекламной кампании бренда
quick_suggestion_idea_3;Придумай несколько идей для новой программы тренировок
quick_suggestion_idea_4;Придумай несколько идей для меню званого ужина
quick_suggestion_image_1;Создай изображение для моей презентации
quick_suggestion_image_2;Создай изображение моего питомца
quick_suggestion_image_3;Создай изображение для моего сайта
quick_suggestion_image_4;Создай изображения из фетра
request_failed_http;Запрос не выполнен: HTTP %s
section_pinned;Закреплённые
session_expired_sign_in;Сессия истекла. Войдите снова.
session_missing_sign_in;Сессия не найдена. Войдите снова.
settings_shared_links;Отправленные чаты
settings_subscription;Подписка Pro
settings_title;Настройки
share;Поделиться
share_empty_response;Пустой ответ для ссылки
share_image;Поделиться изображением
share_link_creation_failed;Не удалось создать ссылку
share_link_revoke_failed;Не удалось отключить ссылку
share_link_unavailable;Ссылка недоступна
share_revoke_empty_response;Пустой ответ отключения ссылки
shared_chat_empty;Общий чат пуст
shared_chat_title;Общий чат
shared_link_copied;Ссылка скопирована
shared_link_created_at;Создано: %s
shared_link_delete_error;Ошибка удаления ссылки
shared_link_delete_message;Удалить эту ссылку? Люди, у которых она есть, потеряют доступ к копии чата.
shared_link_delete_old_error;Невозможно удалить старую ссылку
shared_link_delete_title;Удаление ссылки
shared_link_deleted;Ссылка удалена
shared_link_expired_copy_error;Ссылка устарела и не может быть скопирована
shared_link_unknown_date;Дата неизвестна
shared_links_empty_desc;Поделитесь чатом, чтобы он появился здесь
shared_links_empty_title;Нет созданных ссылок
shared_links_load_error;Ошибка загрузки ссылок
speech_error_audio;Ошибка звука
speech_error_busy;Служба занята
speech_error_client;Ошибка клиента
speech_error_generic;Ошибка распознавания
speech_error_network;Ошибка сети
speech_error_no_match;Речь не распознана
speech_error_permission;Нет разрешения
speech_error_server;Ошибка сервера
speech_error_timeout;Тишина
speech_listening;Слушаю...
speech_speak_now;Говорите...
toast_ad_loading;Реклама еще загружается, подождите пару секунд...
toast_chat_empty;Чат пуст
toast_copied;Скопировано
toast_disliked;Не понравилось
toast_doc_error;Ошибка при создании документа
toast_doc_saved_with_path;Документ сохранён:\n%s
toast_error;Ошибка
toast_image_copied;Изображение скопировано
toast_image_copy_error;Ошибка копирования изображения
toast_incognito_info;Инкогнито-чат не сохраняется в истории
toast_instructions_saved;Инструкции сохранены
toast_liked;Понравилось!
toast_limits_added;Лимиты успешно добавлены! +5 запросов.
toast_limits_exhausted;У вас закончились бесплатные запросы на сегодня! Нажмите кнопку +5 сверху.
toast_logout;Вы вышли из профиля
toast_name_empty;Имя не может быть пустым
toast_open_attachment_error_with_message;Не удалось открыть вложение: %s
toast_profile_saved;Профиль сохранён
toast_share_error;Ошибка при попытке поделиться
toast_share_import_error;Не удалось открыть чат по ссылке
toast_share_imported;Копия чата создана
toast_share_importing;Открываем чат по ссылке...
toast_share_link_created;Ссылка на чат создана
toast_share_links_not_found;Активных ссылок нет
toast_share_links_revoked;Доступ по ссылкам отключен
toast_share_revoke_error;Не удалось отключить ссылки
untitled_chat;Без названия
welcome_question;Чем могу помочь?

ai_provider_title;AI Провайдер
ai_provider_section;Провайдер ИИ
ai_provider_vsegpt_title;VseGPT (сервер)
ai_provider_vsegpt_desc;Запросы идут через наш сервер. API ключ не нужен.
ai_provider_openai_title;OpenAI API
ai_provider_openai_desc;Прямое подключение к OpenAI с tools. Нужен ваш API ключ.
ai_provider_api_key_section;Ключ API
ai_provider_api_key_hint;Получите ключ на platform.openai.com/api-keys
ai_provider_model_section;Модель
ai_provider_tools_info;🔍 Поиск в интернете  •  🎨 Генерация изображений  •  ✏️ Редактирование изображений\nМодель сама определяет, когда использовать инструменты.
ai_provider_key_empty;Пожалуйста, введите API ключ
ai_provider_key_saved;API ключ сохранён
