TID;TEXT
button_photo;Foto
button_purchase_research;Ricerca acquisti
button_purchase_research_description;Ottieni una guida dettagliata agli acquisti
button_report_problem;Segnala un problema
button_save;Salva
button_search_web;Cerca sul web
button_search_web_description;Cerca nuove informazioni in tempo reale
button_security;Sicurezza
button_show_password;Mostra password
button_study_training;Studio e formazione
button_study_training_description;Impara un nuovo concetto
chat_error_empty;Le chat est vide
chat_error_not_found;Chat introuvable
code_copied;Copiato!
code_copy;Copia
code_default_language;Code
content_desc_add_attachment;Ajouter une pièce jointe
content_desc_anonymous_chat;Chat incognito
content_desc_back;Retour
content_desc_clear_mode;Effacer le mode
content_desc_menu;Menu
content_desc_microphone;Microphone
content_desc_more_options;Plus d'options
content_desc_new_chat;Nouvelle discussion
content_desc_remove_attachment;Retirer la pièce jointe
content_desc_send;Envoyer
dialog_change_password;Cambio password
dialog_rename_hint;Nuovo nome
export_sender_bot;Bot
export_sender_you;Tu
external_link_unavailable;Lien indisponible
hint_create_image;Décrivez l'image à créer
history_label_last_7_days;Negli ultimi 7 giorni
history_label_previously;Precedentemente
history_label_today;Oggi
image_creating;Creazione immagini...
image_ready;Immagine pronta
label_email;Email
label_file_analysis;Analisi file/foto
label_name;Nome
label_new_chat;Nuova chat
label_personalization;Personalizzazione
label_personalization_instructions;Istruzioni personalizzate
label_select_language;Seleziona lingua
label_user;Utilisateur
label_your_password;La tua password
language_name_br;Biélorusse
language_name_en;Anglais
language_name_fr;Français
language_name_go;Géorgien
language_name_it;Italien
language_name_ru;Russe
language_name_uk;Ukrainien
main_panel_input;Fai una domanda
main_panel_input_create_image;Crea immagine
main_panel_input_panel_search;Cerca sul web
main_panel_input_purchase_research;Ricerca prodotti
main_panel_study_training;Formazione e studio
menu_copy_text;Copier le texte
menu_edit_message;Modifier le message
menu_pin_chat;Fissa chat
menu_regenerate;Rigenera
menu_rename;Rinomina
menu_revoke_share_links;Désactiver les liens partagés
menu_unpin_chat;Sblocca chat
network_connect_error;Impossible de se connecter au serveur
network_empty_response;Réponse serveur vide
network_error_with_message;Erreur réseau : %s
network_http_error;Erreur %s
network_unknown_error;Erreur inconnue
no_chat_history;Nessuna cronologia chat
no_search_results;Nessun risultato
not_available;-
panel_create_image;Immagine
panel_purchase_research;Ricerca acquisti
panel_search;Cerca
panel_study_training;Studio
password_confirm_new_hint;Confirmer le nouveau mot de passe
password_current_hint;Mot de passe actuel
password_error_current_required;Saisissez le mot de passe actuel
password_error_mismatch;Les mots de passe ne correspondent pas
password_error_new_too_short;Le nouveau mot de passe doit contenir au moins 6 caractères
password_new_hint;Nouveau mot de passe
password_securely_stored;Le mot de passe est stocké en sécurité
password_sign_in_again;Connectez-vous à nouveau
profile_and_settings;Profilo e impostazioni
prompt_idea_prefix;Trouve quelques idées
quick_suggestion_idea_1;Trouve des idées pour mes prochaines vacances
quick_suggestion_idea_2;Trouve des idées pour une campagne de marque
quick_suggestion_idea_3;Trouve des idées pour un nouveau programme d'entraînement
quick_suggestion_idea_4;Trouve des idées pour un menu de dîner
quick_suggestion_image_1;Crée une image pour ma présentation
quick_suggestion_image_2;Crée une image de mon animal
quick_suggestion_image_3;Crée une image pour mon site
quick_suggestion_image_4;Crée des images en feutre
request_failed_http;Échec de la requête : HTTP %s
section_pinned;Fissati
session_expired_sign_in;Session expirée. Connectez-vous à nouveau.
session_missing_sign_in;Session introuvable. Connectez-vous à nouveau.
settings_shared_links;Chats partagés
settings_title;Impostazioni
share;Condividi
share_empty_response;Réponse de partage vide
share_image;Condividi immagine
share_link_creation_failed;Échec de la création du lien
share_link_revoke_failed;Échec de la révocation du lien
share_link_unavailable;Le lien de partage est indisponible
share_revoke_empty_response;Réponse de révocation vide
shared_chat_empty;Le chat partagé est vide
shared_chat_title;Chat partagé
shared_link_copied;Lien copié
shared_link_created_at;Créé : %s
shared_link_delete_error;Échec de la suppression du lien
shared_link_delete_message;Supprimer ce lien ? Les personnes qui l'ont perdront l'accès à la copie du chat.
shared_link_delete_old_error;Impossible de supprimer l'ancien lien
shared_link_delete_title;Supprimer le lien
shared_link_deleted;Lien supprimé
shared_link_expired_copy_error;Ce lien a expiré et ne peut pas être copié
shared_link_unknown_date;Date inconnue
shared_links_empty_desc;Partagez un chat pour le voir ici
shared_links_empty_title;Aucun lien pour le moment
shared_links_load_error;Échec du chargement des liens
speech_error_audio;Errore audio
speech_error_busy;Servizio occupato
speech_error_client;Errore client
speech_error_generic;Errore di riconoscimento
speech_error_network;Errore di rete
speech_error_no_match;Voce non riconosciuta
speech_error_permission;Nessun permesso
speech_error_server;Errore del server
speech_error_timeout;Silenzio
speech_listening;Ascolto...
speech_speak_now;Parla...
toast_ad_loading;La pubblicità sta ancora caricando, attendi...
toast_chat_empty;La chat è vuota
toast_copied;Copiato
toast_disliked;Non piaciuto
toast_doc_error;Errore nella creazione del documento
toast_doc_saved_with_path;Document enregistré :\n%s
toast_error;Errore
toast_image_copied;Immagine copiata
toast_image_copy_error;Errore copia immagine
toast_incognito_info;Le chat incognito n'est pas enregistré dans l'historique
toast_instructions_saved;Istruzioni salvate
toast_liked;Piaciuto!
toast_limits_exhausted;Hai esaurito le richieste gratuite per oggi! Premi il pulsante +5 in alto.
toast_logout;Sei uscito dal profilo
toast_name_empty;Il nome non può essere vuoto
toast_open_attachment_error_with_message;Impossible d'ouvrir la pièce jointe : %s
toast_profile_saved;Profilo salvato
toast_share_error;Errore di condivisione
toast_share_import_error;Échec de l'ouverture du chat partagé
toast_share_imported;Chat partagé copié
toast_share_importing;Ouverture du chat partagé...
toast_share_link_created;Lien de partage créé
toast_share_links_not_found;Aucun lien partagé actif
toast_share_links_revoked;Liens partagés désactivés
toast_share_revoke_error;Échec de la désactivation des liens partagés
untitled_chat;Sans titre
welcome_question;Come posso aiutarti?
welcome_prompt_1;Come posso aiutarti?
welcome_prompt_2;Cosa vuoi sapere?
welcome_prompt_3;Come ti senti oggi?
welcome_prompt_4;Ti ascolto
welcome_prompt_5;Scopriamolo insieme
welcome_prompt_6;Chiedimi pure
welcome_prompt_7;Da dove iniziamo?
welcome_prompt_8;Pronto ad aiutarti

ai_provider_title;AI Provider
ai_provider_section;AI Provider
ai_provider_vsegpt_title;VseGPT (server)
ai_provider_vsegpt_desc;Requests go through our server. No API key needed.
ai_provider_openai_title;OpenAI API
ai_provider_openai_desc;Direct connection to OpenAI with tools. Requires your API key.
ai_provider_api_key_section;API Key
ai_provider_api_key_hint;Get your key at platform.openai.com/api-keys
ai_provider_model_section;Model
ai_provider_tools_info;🔍 Web Search  •  🎨 Image Generation  •  ✏️ Image Editing\nThe model automatically decides when to use tools.
ai_provider_key_empty;Please enter your API key
ai_provider_key_saved;API key saved
